Source,Target,Weight
張飛,劉備,144
張飛,關羽,12
張飛,曹操,318
張飛,趙雲,198
張飛,孫權,27
張飛,葛亮,32
張飛,周瑜,20
張飛,馬懿,2
張飛,劉禪,3
劉備,關羽,3
劉備,張飛,144
劉備,曹操,447
劉備,周瑜,130
劉備,孫權,215
劉備,趙雲,106
劉備,馬懿,17
劉備,葛亮,65
劉備,劉禪,4
劉備,馬昭,3
關羽,劉備,3
關羽,張飛,12
關羽,曹操,14
關羽,趙雲,7
關羽,劉禪,1
關羽,葛亮,2
關羽,孫權,1
關羽,馬懿,1
曹操,張飛,318
曹操,劉備,447
曹操,關羽,14
曹操,周瑜,243
曹操,孫權,484
曹操,趙雲,204
曹操,劉禪,6
曹操,葛亮,98
曹操,馬懿,22
曹操,馬昭,20
趙雲,張飛,198
趙雲,曹操,204
趙雲,劉備,106
趙雲,孫權,57
趙雲,葛亮,72
趙雲,周瑜,84
趙雲,關羽,7
趙雲,劉禪,3
趙雲,馬懿,18
周瑜,孫權,136
周瑜,曹操,243
周瑜,劉備,130
周瑜,葛亮,61
周瑜,張飛,20
周瑜,趙雲,84
孫權,周瑜,136
孫權,曹操,484
孫權,劉備,215
孫權,趙雲,57
孫權,張飛,27
孫權,葛亮,40
孫權,馬懿,39
孫權,劉禪,3
孫權,關羽,1
孫權,馬昭,5
劉禪,曹操,6
劉禪,葛亮,11
劉禪,關羽,1
劉禪,張飛,3
劉禪,趙雲,3
劉禪,孫權,3
劉禪,劉備,4
劉禪,馬懿,4
劉禪,馬昭,8
葛亮,曹操,98
葛亮,張飛,32
葛亮,馬懿,96
葛亮,劉備,65
葛亮,趙雲,72
葛亮,孫權,40
葛亮,周瑜,61
葛亮,劉禪,11
葛亮,關羽,2
葛亮,馬昭,10
馬懿,曹操,22
馬懿,劉備,17
馬懿,葛亮,96
馬懿,孫權,39
馬懿,張飛,2
馬懿,劉禪,4
馬懿,馬昭,49
馬懿,趙雲,18
馬懿,關羽,1
馬昭,馬懿,49
馬昭,葛亮,10
馬昭,孫權,5
馬昭,劉禪,8
馬昭,曹操,20
馬昭,劉備,3
